Date,Product,Category,Sales_Rep,Quantity,Unit_Price,Total_Amount,Customer_ID,Customer_Name,Region
2024-08-30,Glutamine,Accessories,Amy Foster,12,44.99,539.88,C145,Recovery Aid,Northwest
2024-09-02,Multivitamin,Accessories,Jake Thompson,35,29.99,1049.65,C146,Daily Health,Southwest
2024-09-03,Omega 3,Accessories,Amy Foster,28,39.99,1119.72,C147,Brain Food,Northwest
2024-09-04,Calcium,Accessories,Jake Thompson,24,24.99,599.76,C148,Bone Strong,Southwest
2024-09-05,Magnesium,Accessories,Amy Foster,20,34.99,699.80,C149,Muscle Health,Northwest
2024-09-06,Zinc,Accessories,Jake Thompson,30,19.99,599.70,C150,Immune Boost,Southwest
2024-09-09,Vitamin D,Accessories,Amy Foster,32,29.99,959.68,C017,Video Solutions,Northwest
2024-09-10,Vitamin C,Accessories,Jake Thompson,40,19.99,799.60,C018,Neat Freak,Southwest
2024-09-11,Iron Supplement,Accessories,Amy Foster,22,34.99,769.78,C019,Connect All,Northwest
2024-09-12,B Complex,Accessories,Jake Thompson,26,39.99,1039.74,C020,Bright Ideas,Southwest
2024-09-13,Probiotics,Accessories,Amy Foster,18,49.99,899.82,C021,Data Vault,Northwest
2024-09-16,Digestive Enzyme,Accessories,Jake Thompson,16,44.99,719.84,C022,Memory Lane,Southwest
2024-09-17,Fiber Supplement,Accessories,Amy Foster,20,29.99,599.80,C023,Net Works,Northwest
2024-09-18,Green Tea Extract,Accessories,Jake Thompson,24,34.99,839.76,C024,Safe Power,Southwest
2024-09-19,Garcinia Extract,Accessories,Amy Foster,15,39.99,599.85,C025,Long Reach,Northwest
2024-09-20,Apple Cider Vinegar,Accessories,Jake Thompson,28,24.99,699.72,C026,Speedy Net,Southwest
2024-09-23,Turmeric,Accessories,Amy Foster,22,29.99,659.78,C027,Port Central,Northwest
2024-09-24,Ginger Root,Accessories,Jake Thompson,18,34.99,629.82,C028,Talk Time,Southwest
2024-09-25,Ashwagandha,Accessories,Amy Foster,16,44.99,719.84,C029,Test Pro,Northwest
2024-09-26,Rhodiola,Accessories,Jake Thompson,14,49.99,699.86,C030,Switch Master,Southwest
2024-09-27,Ginseng,Accessories,Amy Foster,20,39.99,799.80,C031,Video Link,Northwest
2024-09-30,CoQ10,Accessories,Jake Thompson,12,59.99,719.88,C032,Dock Bay,Southwest
